"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar",Início,Término,"Data da última edição"
2026-07-01,2026-07-24,"Post do Instagram: A moda que une tendência,...",active,584,profile_visit_view,0.35828767,209.24,9,Diário,7972,1.417963,11304,623,5.511323,0.335859,18.510262,2,584,56,,2026-06-30,2026-07-30,2026-06-30
2026-07-01,2026-07-24,"[B2C][Tráfego][Ofertas Semanais]",active,18054,profile_visit_view,0.21264097,3839.02,"Usando o orçamento do conjunto de anúncios",0,187876,4.72756,888195,18530,2.086254,0.207179,4.322272,24,18054,266,,2026-07-01,Contínuo,2026-07-01
2026-07-01,2026-07-24,"CA 66 [Bota Fora ] [Tráfego LP]",inactive,,,,0,40,Diário,0,0,0,,,,0,,0,0,,2024-08-09,Contínuo,2024-08-12
2026-07-01,2026-07-24,"[Comercial] [Cadastros] [Julho]",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2024-09-06,Contínuo,2026-05-19
2026-07-01,2026-07-24,"CA 70  [Cinema R$13,00] [Tráfego]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2024-12-18,Contínuo,2024-12-27
2026-07-01,2026-07-24,"CA 71 [Menu Gourmet] [Tráfego - Redes Sociais]",inactive,,,,0,30,Diário,0,0,0,,,,0,,0,0,,2025-01-03,Contínuo,2025-02-03
2026-07-01,2026-07-24,"CA 72 [Corta Preço] [Tráfego - Site]",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2025-01-07,Contínuo,2025-01-13
2026-07-01,2026-07-24,"CA 84 [Aliens] [Ofertas da Semana] [whatsapp]",inactive,,,,0,15,Diário,0,0,0,,,,0,,0,0,,2025-05-13,Contínuo,2025-05-21
2026-07-01,2026-07-24,"CA 85 [ ALCANCE] [DIA DOS NAMORADOS - VIAGEM]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-05-19,Contínuo,2025-06-13
2026-07-01,2026-07-24,"CA 77 [OFERTAS DA SEMANA] [TRÁFEGO SITE]",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2025-06-17,Contínuo,2025-09-02
2026-07-01,2026-07-24,"Post do Instagram: 🚨 DESCONTOS DE ATÉ 80% NO...",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2025-08-07,Contínuo,2025-08-11
2026-07-01,2026-07-24,"CA  [OFERTAS DA CORTA PREÇO] [TRÁFEGO SITE]",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2025-09-02,Contínuo,2025-09-02
2026-07-01,2026-07-24,"Instagram - Natal",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2025-11-08,Contínuo,2025-12-26
2026-07-01,2026-07-24,[B2C][Reconhecimento][Institucional],active,321987,reach,1.30753726,421.01,20,Diário,321987,1.143686,368252,379,0.102919,1.110844,1.143266,,177,0,,2026-06-16,Contínuo,2026-07-20
2026-07-01,2026-07-24,"Post do Instagram: A Operação Férias começou no...",inactive,78,profile_visit_view,0.53474359,41.71,7,Diário,5811,1.152469,6697,72,1.075108,0.579306,6.228162,,78,2,,2026-07-01,2026-07-07,2026-07-13
2026-07-01,2026-07-24,"Post do Instagram: 🍌💛 Eles estão chegando!

Nos...",inactive,125,profile_visit_view,0.1668,20.85,7,Diário,4310,1.136659,4899,125,2.551541,0.1668,4.255971,,125,4,,2026-07-01,2026-07-04,2026-07-07
2026-07-01,2026-07-24,[B2C][Engajamento][IG],active,25570,total_profile_visits,0.21312006,5449.48,"Usando o orçamento do conjunto de anúncios",0,335140,2.195241,735713,23779,3.232103,0.229172,7.407073,72,22579,528,,2026-07-03,Contínuo,2026-07-03
2026-07-01,2026-07-24,"Post do Instagram: ✨ As férias ficam ainda...",recently_completed,160,profile_visit_view,0.6341875,101.47,6,Diário,6119,1.246936,7630,151,1.97903,0.671987,13.29882,,160,15,,2026-07-03,2026-07-20,2026-07-03
2026-07-01,2026-07-24,"Post do Instagram: Férias com criatividade no...",archived,419,actions:link_click,0.15933174,66.76,25,Diário,13265,1.176856,15611,419,2.684005,0.159332,4.276472,121,35,0,,2026-07-07,2026-07-10,2026-07-10
2026-07-01,2026-07-24,"Post do Instagram: Férias com criatividade no...",inactive,540,actions:link_click,0.27731481,149.75,150,Diário,29856,1.230238,36730,540,1.470188,0.277315,4.077049,164,24,1,,2026-07-10,2026-07-11,2026-07-13
2026-07-01,2026-07-24,"Post do Instagram: ✨ A Feira de Artesanato está...",completed,375,profile_visit_view,0.26653333,99.95,50,Diário,7361,1.468822,10812,391,3.616352,0.255627,9.244358,1,375,43,,2026-07-13,2026-07-15,2026-07-13
2026-07-01,2026-07-24,"Post do Instagram: Férias com muita diversão e...",recently_completed,1223,actions:link_click,0.19623876,240,80,Diário,39544,1.62409,64223,1223,1.904302,0.196239,3.736979,576,192,8,,2026-07-14,2026-07-17,2026-07-14
2026-07-01,2026-07-24,"Post do Instagram: Chegou a Urban Market no...",active,54,profile_visit_view,0.2912963,15.73,6,Diário,1539,1.1436,1760,50,2.840909,0.3146,8.9375,,54,0,,2026-07-21,2026-08-20,2026-07-21
2026-07-01,2026-07-24,"Post do Instagram: Um novo capítulo começou no...",active,69,profile_visit_view,0.23144928,15.97,6,Diário,2370,1.235021,2927,63,2.152374,0.253492,5.456098,1,69,2,,2026-07-21,2026-08-20,2026-07-21
2026-07-01,2026-07-24,"Post do Instagram: 🇰🇷✨ Prepare-se para mergulhar...",active,570,profile_visit_view,0.14640351,83.45,50,Diário,13647,1.379351,18824,494,2.624309,0.168927,4.43317,,570,36,,2026-07-22,2026-07-27,2026-07-22
2026-07-01,2026-07-24,"Post do Instagram: 🎨🐸 Férias + criatividade =...",archived,17,actions:link_click,0.43411765,7.38,50,Diário,1355,1.013284,1373,17,1.238165,0.434118,5.375091,,20,0,,2026-07-23,2026-07-23,2026-07-23
2026-07-01,2026-07-24,"Post do Instagram: 🎨🐸 Férias + criatividade =...",active,179,actions:link_click,0.22072626,39.51,40,Diário,8601,1.273457,10953,179,1.634255,0.220726,3.607231,71,14,0,,2026-07-23,2026-07-24,2026-07-23
2026-07-01,2026-07-24,"CA 03 - [Lojas] [Cadastros] [Agosto]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2024-08-08,Contínuo,2024-08-08
2026-07-01,2026-07-24,"CA 65 [Loja] [Cadastro] [Agosto]",inactive,,,,0,80,Diário,0,0,0,,,,0,,0,0,,2024-08-08,Contínuo,2025-02-11
2026-07-01,2026-07-24,"CA 67 [Tráfego] [Ofertas da semana]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2024-08-15,Contínuo,2024-08-30
2026-07-01,2026-07-24,"CA [OFERTAS] [TRÁFEGO]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2024-09-05,Contínuo,2024-09-24
2026-07-01,2026-07-24,"CA [TRÁFÉGO] [MARATON KIDS]",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2024-09-11,Contínuo,2024-09-16
2026-07-01,2026-07-24,"CA [TRAFÉGO] [MARATONA KIDS]",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2024-09-11,Contínuo,2025-09-02
2026-07-01,2026-07-24,"CA 68 [ Happy Hour] [Alcance]",inactive,0,reach,,0,50,Diário,0,0,0,,,,0,,0,0,,2024-11-21,Contínuo,2026-02-05
2026-07-01,2026-07-24,"CA 80 [Alcance] [Institucional]",inactive,0,reach,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-02-24,Contínuo,2025-07-01
2026-07-01,2026-07-24,"CA 83 [ ALCANCE] [DIA DAS MÃES - CARRO]",inactive,0,reach,,0,30,Diário,0,0,0,,,,0,,0,0,,2025-05-05,Contínuo,2025-05-19
2026-07-01,2026-07-24,"CA 92 [Padma] [Ofertas da Semana] [Whatsapp]",inactive,,,,0,20,Diário,0,0,0,,,,0,,0,0,,2025-06-04,Contínuo,2025-06-10
2026-07-01,2026-07-24,"CA 94 [ALCANCE] [SOS DO AMOR]",inactive,0,reach,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-06-09,Contínuo,2025-06-13
2026-07-01,2026-07-24,"CA 97 [ALCANCE] [ DIA DOS PAIS] [MOTO]",inactive,0,reach,,0,60,Diário,0,0,0,,,,0,,0,0,,2025-06-24,Contínuo,2025-07-18
2026-07-01,2026-07-24,"[COMERCIAL] [CADASTROS]",inactive,,,,0,192.31,Diário,0,0,0,,,,0,,0,0,,2025-07-23,Contínuo,2026-05-19
2026-07-01,2026-07-24,"CA - [Ofertas da Semana]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-09-10,Contínuo,2025-09-17
2026-07-01,2026-07-24,"CA 100 [Ofertas da semana]",inactive,0,reach,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-09-18,Contínuo,2025-12-03
2026-07-01,2026-07-24,"CA - [Post Instagram] [Tráfego IG]",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2025-12-11,Contínuo,2026-03-12
2026-07-01,2026-07-24,"CA [Tráfego - Ofertas] [IG]",inactive,,,,0,200,Diário,0,0,0,,,,0,,0,0,,2026-01-01,Contínuo,2026-01-28
2026-07-01,2026-07-24,"CA 02/26 [Tráfego - Eventos]",inactive,,,,0,200,Diário,0,0,0,,,,0,,0,0,,2026-01-08,Contínuo,2026-02-25
2026-07-01,2026-07-24,"CA 03/26 [Ofertas] [Tráfego IG]",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2026-01-28,Contínuo,2026-02-05
2026-07-01,2026-07-24,"CA [Ofertas] [Tráfego Redes Sociais]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2026-02-27,Contínuo,2026-03-04
2026-07-01,2026-07-24,"CA [Tráfego] [Pesquisa]",inactive,,,,0,30,Diário,0,0,0,,,,0,,0,0,,2026-03-27,Contínuo,2026-04-23
2026-07-01,2026-07-24,"CA - OFERTAS 15-21  Tráfego",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-04-17,Contínuo,2026-04-22
2026-07-01,2026-07-24,"CA [Ofertas - 22-28]",inactive,,,,0,200,Diário,0,0,0,,,,0,,0,0,,2026-04-23,Contínuo,2026-04-29
2026-07-01,2026-07-24,"[OFERTAS 13-20]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-05-14,Contínuo,2026-05-19
2026-07-01,2026-07-24,"CA [Ofertas 20 -26 maio] [Tráfego redes sociais]",inactive,,,,0,200,Diário,0,0,0,,,,0,,0,0,,2026-05-20,Contínuo,2026-05-27
2026-07-01,2026-07-24,Mobile,inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2015-06-02,Contínuo,2025-06-12
2026-07-01,2026-07-24,"CA 79  [ ALCANCE] [PREMIO - CARRO]",inactive,0,reach,,0,30,Diário,0,0,0,,,,0,,0,0,,2025-01-31,Contínuo,2025-04-16
2026-07-01,2026-07-24,"CA 80 [Semana do Cinema R$10,00] [Tráfego]",inactive,,,,0,40,Diário,0,0,0,,,,0,,0,0,,2025-02-03,Contínuo,2025-04-30
2026-07-01,2026-07-24,"CA 81 [Diversão] [Tráfego]",inactive,,,,0,20,Diário,0,0,0,,,,0,,0,0,,2025-02-17,Contínuo,2025-02-18
2026-07-01,2026-07-24,"CA 81 [BOTA FORA] [Tráfego]",inactive,,,,0,800,Diário,0,0,0,,,,0,,0,0,,2025-03-31,Contínuo,2025-04-07
2026-07-01,2026-07-24,"CA 89 [Clube de Ofertas]",inactive,,,,0,30,Diário,0,0,0,,,,0,,0,0,,2025-05-27,Contínuo,2025-10-30
2026-07-01,2026-07-24,"CA 93 [TRÁFEGO IG] [REINO GELADO]",inactive,,,,0,150,Diário,0,0,0,,,,0,,0,0,,2025-06-09,Contínuo,2025-08-25
2026-07-01,2026-07-24,workshop,inactive,,,,0,20,Diário,0,0,0,,,,0,,0,0,,2025-06-17,Contínuo,2025-06-17
2026-07-01,2026-07-24,"CA 98 [ALCANCE] [SERVIÇOS]",inactive,0,reach,,0,50,Diário,0,0,0,,,,0,,0,0,,2025-07-01,Contínuo,2026-02-05
2026-07-01,2026-07-24,"CA [Alcance] [Ofertas Corta Fora]",inactive,0,reach,,0,150,Diário,0,0,0,,,,0,,0,0,,2025-09-05,Contínuo,2025-09-09
2026-07-01,2026-07-24,"Teste Workshop",inactive,,,,0,20,Diário,0,0,0,,,,0,,0,0,,2025-10-02,Contínuo,2025-10-02
2026-07-01,2026-07-24,"CA [Comercial] [OFF] TRAFEGO",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2025-10-28,Contínuo,2025-10-28
2026-07-01,2026-07-24,"CA [Tráfego] [Ofertas]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2025-12-03,Contínuo,2025-12-31
2026-07-01,2026-07-24,"CA - Ofertas - video",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2025-12-11,Contínuo,2025-12-17
2026-07-01,2026-07-24,"CA [Tráfego ][Comedy]",inactive,,,,0,500,Diário,0,0,0,,,,0,,0,0,,2026-02-25,Contínuo,2026-02-27
2026-07-01,2026-07-24,"OFERTAS DIA DA MULHER",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-03-06,Contínuo,2026-03-11
2026-07-01,2026-07-24,"Ofertas mês do consumidor",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2026-03-12,Contínuo,2026-03-25
2026-07-01,2026-07-24,"CA [Video Influencer] [Engajamento]",inactive,0,reach,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2026-03-13,Contínuo,2026-03-25
2026-07-01,2026-07-24,"CA - Ofertas Semana 25-31 - Tráfego IG -FB",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-03-25,Contínuo,2026-04-01
2026-07-01,2026-07-24,"CA [Tráfego - Bota Fora] [Redes - Sociais]",inactive,,,,0,1000,Diário,0,0,0,,,,0,,0,0,,2026-04-07,Contínuo,2026-04-13
2026-07-01,2026-07-24,"CA [Comercial - Lógica Condicional]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-04-08,Contínuo,2026-05-06
2026-07-01,2026-07-24,"NEW [COMERCIAL] [CADASTROS - Lógica condicional]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-04-14,Contínuo,2026-04-23
2026-07-01,2026-07-24,"[COMERCIAL] [CADASTROS] [NOVOS CRIATIVOS]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2026-04-23,Contínuo,2026-05-19
2026-07-01,2026-07-24,"[OFERTAS 29-05]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-04-29,Contínuo,2026-05-05
2026-07-01,2026-07-24,"CA [OFERTAS 06-12]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-05-06,Contínuo,2026-05-13
2026-07-01,2026-07-24,Namorados,inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,1969-12-31,1969-12-31,2025-06-12
2026-07-01,2026-07-24,"Namorados 01",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2015-06-02,Contínuo,2015-06-02
2026-07-01,2026-07-24,"Shopping Cidade Curitiba - Envolvimento com a publicação",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2015-06-25,Contínuo,2025-06-11
2026-07-01,2026-07-24,"cinema - meia",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2015-10-06,Contínuo,2015-10-07
2026-07-01,2026-07-24,"so risos - ultima semana ",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-03-09,Contínuo,2016-03-14
2026-07-01,2026-07-24,"Shopping Cidade - jeans -loja vida",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,1969-12-31,1969-12-31,2023-12-07
2026-07-01,2026-07-24,"Shopping Cidade - padokita",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-05-18,Contínuo,2016-05-23
2026-07-01,2026-07-24,"Shopping Cidade - inaug. feito pele",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-06-29,Contínuo,2016-07-04
2026-07-01,2026-07-24,"sapatos secre shoes",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,1969-12-31,1969-12-31,2025-06-11
2026-07-01,2026-07-24,"armação ",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-12-02,Contínuo,2016-12-05
2026-07-01,2026-07-24,"vestidos florence",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-12-19,Contínuo,2016-12-26
2026-07-01,2026-07-24,"Promoção contínua de negócio local da Página Shopping Cidade Curitiba",inactive,0,reach,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2017-09-22,Contínuo,2017-10-19
2026-07-01,2026-07-24,"Coleção verão Doce Amora",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,1969-12-31,1969-12-31,2025-06-11
2026-07-01,2026-07-24,EVENTOS,inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2019-11-12,Contínuo,2022-05-04
2026-07-01,2026-07-24,"ÓTICA MARI MONTINI",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2019-12-20,Contínuo,2025-06-10
2026-07-01,2026-07-24,"CA 05 [Cadastro_Vendas_de_loja]  [A]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2020-08-17,Contínuo,2024-01-03
2026-07-01,2026-07-24,INSTITUCIONAL,inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2020-12-28,Contínuo,2022-05-11
2026-07-01,2026-07-24,"ALCANCE_CINEMA - OFF",inactive,0,reach,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2021-07-08,Contínuo,2023-10-26
2026-07-01,2026-07-24,"ALCANCE_EVENTOS - OFF",inactive,0,reach,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2021-08-31,Contínuo,2023-10-26
2026-07-01,2026-07-24,"ENGAJAMENTO_HAPPY HOUR - NOVEMBRO OFF",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-05-04,Contínuo,2023-11-09
2026-07-01,2026-07-24,"ENGAJAMENTO_CINEMA - OFF 10.23",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-05-05,Contínuo,2023-10-25
2026-07-01,2026-07-24,"ENGAJAMENTO_PÇA ALIMENTAÇÃO",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-05-05,Contínuo,2024-09-16
2026-07-01,2026-07-24,ENGAJAMENTO_SERVIÇOS,inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-05-05,Contínuo,2023-10-30
2026-07-01,2026-07-24,"ENGAJAMENTO_EVENTOS PONTUAIS",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-05-17,Contínuo,2024-08-21
2026-07-01,2026-07-24,"ALCANCE_CARROSSEL - OFF",inactive,0,reach,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2022-06-06,Contínuo,2023-10-26
2026-07-01,2026-07-24,"cinema ",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2016-12-26,Contínuo,2017-01-03
2026-07-01,2026-07-24,"tenis star shoes",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,1969-12-31,1969-12-31,2025-06-11
2026-07-01,2026-07-24,"loucos por churros - pops ",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2017-10-24,Contínuo,2017-10-26
2026-07-01,2026-07-24,"OFERTA_camisa social",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2017-11-17,Contínuo,2017-11-27
2026-07-01,2026-07-24,"OFERTAS DE 24 A 30/01 - mochila noy",inactive,,,,0,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,,0,0,,2019-01-25,Contínuo,2019-01-28
2026-07-01,2026-07-24,"CA 01[MARATONA KIDS] [Tráfego]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2023-10-25,Contínuo,2025-09-09
2026-07-01,2026-07-24,"CA 01 [Cinema] [Tráfego] 24",inactive,,,,0,25,Diário,0,0,0,,,,0,,0,0,,2023-10-25,Contínuo,2024-12-02
2026-07-01,2026-07-24,"CA 03 [HALLOWEEN] [ALCANCE]",inactive,0,reach,,0,20,Diário,0,0,0,,,,0,,0,0,,2023-10-25,Contínuo,2023-10-30
2026-07-01,2026-07-24,"CA 02 - ACP [ ALCANCE]",inactive,0,reach,,0,20,Diário,0,0,0,,,,0,,0,0,,2023-10-26,Contínuo,2024-01-02
2026-07-01,2026-07-24,"CA 03 - [Lojas] [Cadastros] [Old]",inactive,,,,0,50,Diário,0,0,0,,,,0,,0,0,,2023-10-26,Contínuo,2024-06-21
2026-07-01,2026-07-24,"CA 09 [ENGAJAMENTO] [SERVIÇOS]",inactive,,,,0,30,Diário,0,0,0,,,,0,,0,0,,2023-10-30,Contínuo,2024-09-24
