Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,Tipo de estratégia de lances,Custo,Impr.,Cliques,Conversões,Taxa de conv.,Valor conv.,Valor conv. / custo,CPC méd.,Custo / conv.,CTR,CPM médio,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),% de sessões engajadas (GA4),Eventos / sessão (GA4),Freq. méd. impr. / usuário,Usuários exclusivos
janeiro de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"9349,98",29.394,1.628,"63,85","3,92%","61,85","0,01","5,74","146,43","5,54%","318,09","36,65%","23,30%","44,26%","8,95",,
fevereiro de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"9261,15",31.595,1.729,"68,22","3,95%","65,22","0,01","5,36","135,75","5,47%","293,12","33,28%","20,27%","52,83%","4,57",,
março de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"5615,56",17.535,941,"34,00","3,61%","34,00","0,01","5,97","165,16","5,37%","320,25","31,70%","29,97%","55,00%","4,25",,
abril de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"10232,35",29.331,1.641,"76,83","4,68%","75,83","0,01","6,24","133,18","5,59%","348,86","41,98%","27,19%","30,61%","3,98",,
maio de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"5761,74",19.374,1.515,"70,12","4,63%","70,12","0,01","3,80","82,17","7,82%","297,40","34,71%","20,33%","51,28%","5,19",,
junho de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"4571,27",15.196,1.112,"59,58","5,36%","58,58","0,01","4,11","76,73","7,32%","300,82","35,46%","16,94%","46,97%","4,89",,
janeiro de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,CA [LOJAS] [PESQUISA],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22181790913,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,[Loja- Leads] [Pesquisa],"554,36", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,22068803887,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,[Geração de demanda] [Shopping],"350,00", --,Diário,BRL,Pausado,campanha pausada,22058975217,Geração de demanda,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"12436,47",5.641.323,1.602,"15.117,00","0,30%","15.116,00","1,22","7,76","0,82","0,03%","2,20", --, --,"28,52%","7,35",,
fevereiro de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"12158,38",5.012.958,2.034,"12.809,00","0,28%","12.806,00","1,05","5,98","0,95","0,04%","2,43", --, --,"30,15%","3,62",,
março de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"6789,72",2.857.602,1.347,"7.990,00","0,31%","7.990,00","1,18","5,04","0,85","0,05%","2,38", --, --,"14,85%","3,32",,
abril de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"14835,42",4.190.369,9.349,"16.578,66","0,45%","16.346,54","1,10","1,59","0,89","0,22%","3,54","17,58%","40,27%","63,22%","6,42",,
maio de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"19252,89",3.940.727,33.465,"30.581,13","0,92%","29.817,43","1,55","0,58","0,63","0,85%","4,89","19,27%","16,32%","73,45%","7,02",,
junho de 2026,Pausada,[Local] [Performance Max],"400,00", --,Diário,BRL,Pausado,campanha pausada,22058901048,Performance Max,Maximizar o valor da conversão (ROAS desejado),"15306,20",2.668.541,29.015,"27.613,78","1,23%","27.069,05","1,77","0,53","0,55","1,09%","5,74","20,31%","11,89%","74,75%","7,33",,
janeiro de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,CA 01 - Loja [ Pesquisa] [ 08/10],"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21791116457,Pesquisa,Maximizar conversões (CPA desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Removida,PGMEI - Simples Nacional,"19744,15", --,Diário,BRL,Removido,campanha removida,21723974070,Inteligente,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,Pmax_Institucional,"100,00", --,Diário,BRL,Pausado,campanha pausada,21426622266,Performance Max,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,02/07 Campanha Pesquisa [Visitantes] JULHO,"50,00", --,Diário,BRL,Pausado,campanha pausada,21413132624,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,25/06 Campanha Pesquisa [Lojas]  JULHO,"200,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21412954778,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,CA [Maio] [Performance Max],"1300,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos grupos de recursos está limitada pela política,21301544389,Performance Max,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,[LOJAS] [Geração de demanda ],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21298318943,Geração de demanda,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,[Pesquisa] [Leads] [lLP Comercial],"100,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,21036794594,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,[Pesquisa] [Website traffic] 19.02,"75,00", --,Diário,BRL,Pausado,campanha pausada,21036229868,Pesquisa,Maximizar o valor da conversão (ROAS desejado),"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,[Pesquisa] [Leads] [Lojas] 05.02,"160,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada; a extensão de formulário de lead foi reprovada,20991384393,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,[Pesquisa] [Leads] [Lojas] 05.02,"160,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada; a extensão de formulário de lead foi reprovada,20991384393,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,[Pesquisa] [Leads] [Lojas] 05.02,"160,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada; a extensão de formulário de lead foi reprovada,20991384393,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,[Pesquisa] [Leads] [Lojas] 05.02,"160,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada; a extensão de formulário de lead foi reprovada,20991384393,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
